response_id,semester,course_code,course_name,faculty_id,student_id,student_name,rating_teaching,rating_content,rating_assessment,comment
R-0076,Spring 2026,LAW301,Jurisprudence,F-A07,STU56507,[Student_076],5,5,4,Makes difficult sections of the Act easy to follow.
R-0212,Spring 2026,LAW102,Contract Law,F-A08,STU51853,[Student_212],3,3,3,"Standard teaching style, nothing exceptional."
R-0271,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU29976,[Student_271],3,4,3,Course content is as per syllabus.
R-0016,Autumn 2025,LAW201,Corporate Law II,F-A04,STU52487,[Student_016],4,3,4,"Standard teaching style, nothing exceptional."
R-0147,Autumn 2025,LAW102,Contract Law,F-A07,STU59308,[Student_147],4,5,4,"Explains concepts with real case examples, very engaging."
R-0256,Autumn 2025,LAW301,Jurisprudence,F-A07,STU70686,[Student_256],3,3,3,"Standard teaching style, nothing exceptional."
R-0155,Autumn 2025,LAW202,Law of Corporate Governance,F-A05,STU57428,[Student_155],5,5,5,Makes difficult sections of the Act easy to follow.
R-0034,Spring 2026,LAW301,Jurisprudence,F-A04,STU47353,[Student_034],4,4,4,Makes difficult sections of the Act easy to follow.
R-0058,Autumn 2025,LAW202,Law of Corporate Governance,F-A05,STU41358,[Student_058],4,4,4,"Lectures are okay, could use more interactivity."
R-0156,Autumn 2025,LAW101,Constitutional Law I,F-A07,STU61873,[Student_156],5,5,3,Practical assignments helped me understand drafting better.
R-0039,Spring 2026,LAW302,Criminal Law,F-A08,STU81511,[Student_039],1,3,1,"Too much reliance on textbook, less classroom explanation."
R-0032,Spring 2026,LAW202,Law of Corporate Governance,F-A06,STU27154,[Student_032],5,5,5,Makes difficult sections of the Act easy to follow.
R-0203,Spring 2026,LAW201,Corporate Law II,F-A06,STU18617,[Student_203],2,3,1,"More moot court practice would help, too much theory right now."
R-0146,Autumn 2025,LAW302,Criminal Law,F-A05,STU33777,[Student_146],5,5,3,Slides are well-structured and useful for revision.
R-0217,Autumn 2025,LAW202,Law of Corporate Governance,F-A04,STU88317,[Student_217],1,3,2,Lectures feel rushed; hard to take notes and understand together.
R-0252,Spring 2026,LAW301,Jurisprudence,F-A01,STU10395,[Student_252],4,5,4,Slides are well-structured and useful for revision.
R-0235,Autumn 2025,LAW101,Constitutional Law I,F-A04,STU16880,[Student_235],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0129,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU57012,[Student_129],2,3,3,"Too much reliance on textbook, less classroom explanation."
R-0093,Spring 2026,LAW301,Jurisprudence,F-A05,STU67377,[Student_093],5,5,5,Slides are well-structured and useful for revision.
R-0098,Autumn 2025,LAW101,Constitutional Law I,F-A08,STU96200,[Student_098],4,5,3,Makes difficult sections of the Act easy to follow.
R-0296,Spring 2026,LAW202,Law of Corporate Governance,F-A03,STU62198,[Student_296],5,5,4,"Very approachable, clears doubts patiently after class."
R-0097,Autumn 2025,LAW302,Criminal Law,F-A02,STU82102,[Student_097],5,5,5,Uses current case law to explain abstract principles - super helpful.
R-0135,Spring 2026,LAW101,Constitutional Law I,F-A02,STU76039,[Student_135],4,3,3,"Lectures are okay, could use more interactivity."
R-0230,Spring 2026,LAW302,Criminal Law,F-A05,STU39473,[Student_230],5,5,4,"Very approachable, clears doubts patiently after class."
R-0269,Spring 2026,LAW201,Corporate Law II,F-A05,STU77215,[Student_269],5,5,4,Makes difficult sections of the Act easy to follow.
R-0070,Autumn 2025,LAW102,Contract Law,F-A02,STU98781,[Student_070],1,3,3,"Too much reliance on textbook, less classroom explanation."
R-0121,Autumn 2025,LAW102,Contract Law,F-A04,STU73156,[Student_121],2,2,2,Would appreciate more examples from Indian jurisdiction.
R-0243,Spring 2026,LAW201,Corporate Law II,F-A02,STU42512,[Student_243],2,3,2,Difficult to reach sir for doubts outside class hours.
R-0112,Spring 2026,LAW101,Constitutional Law I,F-A02,STU17355,[Student_112],4,4,4,Slides are well-structured and useful for revision.
R-0226,Spring 2026,LAW202,Law of Corporate Governance,F-A03,STU35006,[Student_226],4,5,3,"Very approachable, clears doubts patiently after class."
R-0015,Autumn 2025,LAW201,Corporate Law II,F-A07,STU91959,[Student_015],5,5,3,Slides are well-structured and useful for revision.
R-0066,Autumn 2025,LAW202,Law of Corporate Governance,F-A06,STU43065,[Student_066],5,5,5,Makes difficult sections of the Act easy to follow.
R-0071,Autumn 2025,LAW202,Law of Corporate Governance,F-A07,STU99687,[Student_071],4,5,4,"Very approachable, clears doubts patiently after class."
R-0064,Autumn 2025,LAW302,Criminal Law,F-A07,STU83975,[Student_064],1,3,3,Difficult to reach sir for doubts outside class hours.
R-0117,Spring 2026,LAW102,Contract Law,F-A07,STU48696,[Student_117],5,5,4,Assessment pattern is fair and reflects what was taught.
R-0140,Spring 2026,LAW202,Law of Corporate Governance,F-A06,STU97177,[Student_140],5,5,4,Excellent pace and clear handouts every week.
R-0168,Spring 2026,LAW302,Criminal Law,F-A03,STU50577,[Student_168],5,5,3,Assessment pattern is fair and reflects what was taught.
R-0274,Autumn 2025,LAW301,Jurisprudence,F-A01,STU64053,[Student_274],4,3,3,Course content is as per syllabus.
R-0284,Spring 2026,LAW102,Contract Law,F-A07,STU17038,[Student_284],4,5,4,Moot court practice sessions are the highlight of the course.
R-0165,Spring 2026,LAW102,Contract Law,F-A08,STU47079,[Student_165],3,4,3,Meets expectations for a core subject.
R-0253,Autumn 2025,LAW302,Criminal Law,F-A04,STU19046,[Student_253],4,5,3,Makes difficult sections of the Act easy to follow.
R-0167,Spring 2026,LAW101,Constitutional Law I,F-A07,STU86380,[Student_167],5,5,3,Practical assignments helped me understand drafting better.
R-0069,Autumn 2025,LAW102,Contract Law,F-A08,STU58351,[Student_069],3,3,2,Assessment questions went beyond what was covered in lectures.
R-0029,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU51104,[Student_029],4,5,3,"Very approachable, clears doubts patiently after class."
R-0150,Spring 2026,LAW202,Law of Corporate Governance,F-A07,STU24534,[Student_150],4,5,5,"Encourages class discussion, never dismissive of student views."
R-0005,Spring 2026,LAW201,Corporate Law II,F-A06,STU82357,[Student_005],1,3,1,Feedback on assignments takes very long to arrive.
R-0075,Autumn 2025,LAW201,Corporate Law II,F-A06,STU70910,[Student_075],2,3,1,"Too much reliance on textbook, less classroom explanation."
R-0057,Spring 2026,LAW302,Criminal Law,F-A06,STU72216,[Student_057],3,4,3,Meets expectations for a core subject.
R-0227,Spring 2026,LAW101,Constitutional Law I,F-A08,STU75774,[Student_227],4,3,3,"Average pace, some topics covered in depth, others skipped."
R-0282,Spring 2026,LAW102,Contract Law,F-A08,STU33508,[Student_282],5,5,3,Excellent pace and clear handouts every week.
R-0163,Spring 2026,LAW301,Jurisprudence,F-A07,STU89299,[Student_163],3,3,3,Course content is as per syllabus.
R-0196,Autumn 2025,LAW102,Contract Law,F-A02,STU14244,[Student_196],2,3,3,Would appreciate more examples from Indian jurisdiction.
R-0246,Autumn 2025,LAW302,Criminal Law,F-A05,STU38721,[Student_246],5,5,4,Slides are well-structured and useful for revision.
R-0107,Spring 2026,LAW302,Criminal Law,F-A04,STU59968,[Student_107],4,5,5,Assessment pattern is fair and reflects what was taught.
R-0178,Autumn 2025,LAW202,Law of Corporate Governance,F-A06,STU20696,[Student_178],5,4,5,Assessment pattern is fair and reflects what was taught.
R-0105,Spring 2026,LAW101,Constitutional Law I,F-A05,STU68529,[Student_105],4,4,3,Meets expectations for a core subject.
R-0127,Spring 2026,LAW301,Jurisprudence,F-A03,STU64379,[Student_127],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0130,Spring 2026,LAW101,Constitutional Law I,F-A07,STU94109,[Student_130],5,4,4,Excellent pace and clear handouts every week.
R-0272,Autumn 2025,LAW102,Contract Law,F-A06,STU43728,[Student_272],5,5,4,"Very approachable, clears doubts patiently after class."
R-0264,Autumn 2025,LAW102,Contract Law,F-A05,STU83044,[Student_264],4,4,3,Course content is as per syllabus.
R-0175,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU89254,[Student_175],3,2,1,"More moot court practice would help, too much theory right now."
R-0191,Spring 2026,LAW201,Corporate Law II,F-A07,STU75211,[Student_191],3,3,3,"Average pace, some topics covered in depth, others skipped."
R-0003,Autumn 2025,LAW102,Contract Law,F-A07,STU54597,[Student_003],4,4,5,Slides are well-structured and useful for revision.
R-0092,Autumn 2025,LAW101,Constitutional Law I,F-A04,STU50319,[Student_092],1,2,1,Difficult to reach sir for doubts outside class hours.
R-0014,Autumn 2025,LAW201,Corporate Law II,F-A01,STU24621,[Student_014],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0223,Spring 2026,LAW102,Contract Law,F-A06,STU76494,[Student_223],5,5,4,Practical assignments helped me understand drafting better.
R-0251,Spring 2026,LAW202,Law of Corporate Governance,F-A02,STU69873,[Student_251],2,3,2,Feedback on assignments takes very long to arrive.
R-0291,Spring 2026,LAW201,Corporate Law II,F-A02,STU21101,[Student_291],2,3,2,Lectures feel rushed; hard to take notes and understand together.
R-0270,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU51015,[Student_270],2,2,2,Feedback on assignments takes very long to arrive.
R-0074,Spring 2026,LAW202,Law of Corporate Governance,F-A03,STU87656,[Student_074],3,4,3,Meets expectations for a core subject.
R-0197,Spring 2026,LAW301,Jurisprudence,F-A03,STU28047,[Student_197],3,2,3,Would appreciate more examples from Indian jurisdiction.
R-0249,Autumn 2025,LAW302,Criminal Law,F-A06,STU36497,[Student_249],1,3,3,"Too much reliance on textbook, less classroom explanation."
R-0143,Spring 2026,LAW201,Corporate Law II,F-A02,STU56090,[Student_143],4,5,4,Assessment pattern is fair and reflects what was taught.
R-0183,Autumn 2025,LAW301,Jurisprudence,F-A01,STU56244,[Student_183],3,3,4,"Lectures are okay, could use more interactivity."
R-0206,Spring 2026,LAW102,Contract Law,F-A03,STU49862,[Student_206],4,5,4,"Explains concepts with real case examples, very engaging."
R-0125,Autumn 2025,LAW301,Jurisprudence,F-A06,STU63516,[Student_125],4,4,4,"Average pace, some topics covered in depth, others skipped."
R-0207,Spring 2026,LAW102,Contract Law,F-A03,STU20336,[Student_207],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0109,Autumn 2025,LAW301,Jurisprudence,F-A08,STU44737,[Student_109],2,2,2,Class timings often extended without prior notice.
R-0099,Spring 2026,LAW301,Jurisprudence,F-A08,STU91973,[Student_099],5,5,5,"Encourages class discussion, never dismissive of student views."
R-0209,Autumn 2025,LAW301,Jurisprudence,F-A03,STU20646,[Student_209],3,3,3,Meets expectations for a core subject.
R-0036,Autumn 2025,LAW302,Criminal Law,F-A02,STU89276,[Student_036],5,5,4,Excellent pace and clear handouts every week.
R-0214,Spring 2026,LAW101,Constitutional Law I,F-A05,STU90658,[Student_214],4,5,5,Excellent pace and clear handouts every week.
R-0108,Spring 2026,LAW202,Law of Corporate Governance,F-A03,STU23069,[Student_108],2,2,2,Difficult to reach sir for doubts outside class hours.
R-0287,Autumn 2025,LAW301,Jurisprudence,F-A07,STU20752,[Student_287],2,3,1,Slides are text-heavy and hard to read from the back rows.
R-0131,Autumn 2025,LAW302,Criminal Law,F-A01,STU82641,[Student_131],3,3,3,"Standard teaching style, nothing exceptional."
R-0037,Autumn 2025,LAW102,Contract Law,F-A06,STU16658,[Student_037],4,4,3,"Lectures are okay, could use more interactivity."
R-0096,Spring 2026,LAW102,Contract Law,F-A07,STU52081,[Student_096],2,3,2,Feedback on assignments takes very long to arrive.
R-0047,Spring 2026,LAW301,Jurisprudence,F-A02,STU67154,[Student_047],2,2,3,Assessment questions went beyond what was covered in lectures.
R-0188,Autumn 2025,LAW102,Contract Law,F-A03,STU15741,[Student_188],3,4,3,"Average pace, some topics covered in depth, others skipped."
R-0079,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU72031,[Student_079],5,5,4,Assessment pattern is fair and reflects what was taught.
R-0062,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU81582,[Student_062],3,3,3,Slides are text-heavy and hard to read from the back rows.
R-0031,Autumn 2025,LAW101,Constitutional Law I,F-A02,STU20745,[Student_031],3,3,4,Meets expectations for a core subject.
R-0194,Spring 2026,LAW302,Criminal Law,F-A08,STU93816,[Student_194],4,4,3,"Lectures are okay, could use more interactivity."
R-0260,Autumn 2025,LAW202,Law of Corporate Governance,F-A04,STU40692,[Student_260],2,3,2,Lectures feel rushed; hard to take notes and understand together.
R-0274,Autumn 2025,LAW301,Jurisprudence,F-A01,STU64053,[Student_274],4,3,3,Course content is as per syllabus.
R-0022,Spring 2026,LAW101,Constitutional Law I,F-A01,STU38080,[Student_022],5,5,5,"Very approachable, clears doubts patiently after class."
R-0222,Spring 2026,LAW101,Constitutional Law I,F-A03,STU77568,[Student_222],3,2,3,"More moot court practice would help, too much theory right now."
R-0263,Spring 2026,LAW201,Corporate Law II,F-A07,STU41584,[Student_263],5,5,5,Assessment pattern is fair and reflects what was taught.
R-0077,Spring 2026,LAW201,Corporate Law II,F-A06,STU21221,[Student_077],1,3,1,Slides are text-heavy and hard to read from the back rows.
R-0277,Spring 2026,LAW302,Criminal Law,F-A05,STU78732,[Student_277],5,4,3,Assessment pattern is fair and reflects what was taught.
R-0173,Autumn 2025,LAW202,Law of Corporate Governance,F-A06,STU40671,[Student_173],2,3,2,Attendance policy is strict but lectures sometimes feel repetitive.
R-0265,Spring 2026,LAW301,Jurisprudence,F-A03,STU68954,[Student_265],5,5,3,"Very approachable, clears doubts patiently after class."
R-0159,Autumn 2025,LAW102,Contract Law,F-A03,STU83889,[Student_159],3,4,3,Course content is as per syllabus.
R-0290,Spring 2026,LAW101,Constitutional Law I,F-A03,STU21746,[Student_290],5,4,3,"Encourages class discussion, never dismissive of student views."
R-0091,Spring 2026,LAW201,Corporate Law II,F-A05,STU65723,[Student_091],5,5,4,"Very approachable, clears doubts patiently after class."
R-0090,Spring 2026,LAW102,Contract Law,F-A01,STU40340,[Student_090],5,5,3,Practical assignments helped me understand drafting better.
R-0200,Autumn 2025,LAW102,Contract Law,F-A02,STU21506,[Student_200],2,3,2,Feedback on assignments takes very long to arrive.
R-0151,Spring 2026,LAW201,Corporate Law II,F-A08,STU49507,[Student_151],4,4,4,Assessment pattern is fair and reflects what was taught.
R-0101,Autumn 2025,LAW101,Constitutional Law I,F-A04,STU39451,[Student_101],4,4,3,Course content is as per syllabus.
R-0157,Autumn 2025,LAW201,Corporate Law II,F-A06,STU79547,[Student_157],4,5,3,Moot court practice sessions are the highlight of the course.
R-0220,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU61629,[Student_220],1,2,1,Attendance policy is strict but lectures sometimes feel repetitive.
R-0153,Autumn 2025,LAW102,Contract Law,F-A07,STU67176,[Student_153],4,5,3,Makes difficult sections of the Act easy to follow.
R-0081,Spring 2026,LAW201,Corporate Law II,F-A05,STU35105,[Student_081],5,4,4,"Very approachable, clears doubts patiently after class."
R-0231,Autumn 2025,LAW201,Corporate Law II,F-A05,STU83464,[Student_231],5,5,4,Uses current case law to explain abstract principles - super helpful.
R-0136,Spring 2026,LAW102,Contract Law,F-A01,STU65872,[Student_136],4,5,5,"Explains concepts with real case examples, very engaging."
R-0126,Autumn 2025,LAW101,Constitutional Law I,F-A03,STU40775,[Student_126],3,2,1,Slides are text-heavy and hard to read from the back rows.
R-0172,Autumn 2025,LAW102,Contract Law,F-A07,STU15726,[Student_172],5,5,5,Practical assignments helped me understand drafting better.
R-0068,Autumn 2025,LAW302,Criminal Law,F-A01,STU41266,[Student_068],1,3,1,Assessment questions went beyond what was covered in lectures.
R-0030,Spring 2026,LAW101,Constitutional Law I,F-A01,STU34356,[Student_030],5,4,3,"Encourages class discussion, never dismissive of student views."
R-0118,Spring 2026,LAW101,Constitutional Law I,F-A07,STU89569,[Student_118],5,5,4,"Explains concepts with real case examples, very engaging."
R-0224,Spring 2026,LAW301,Jurisprudence,F-A08,STU24366,[Student_224],3,4,4,Course content is as per syllabus.
R-0084,Autumn 2025,LAW301,Jurisprudence,F-A05,STU71524,[Student_084],4,4,4,Uses current case law to explain abstract principles - super helpful.
R-0094,Spring 2026,LAW101,Constitutional Law I,F-A01,STU40005,[Student_094],3,3,3,Meets expectations for a core subject.
R-0292,Autumn 2025,LAW302,Criminal Law,F-A04,STU45180,[Student_292],2,3,2,Difficult to reach sir for doubts outside class hours.
R-0138,Autumn 2025,LAW102,Contract Law,F-A02,STU69469,[Student_138],5,5,4,Practical assignments helped me understand drafting better.
R-0236,Spring 2026,LAW101,Constitutional Law I,F-A07,STU82135,[Student_236],4,3,3,Course content is as per syllabus.
R-0027,Autumn 2025,LAW302,Criminal Law,F-A01,STU73092,[Student_027],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0148,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU16895,[Student_148],5,5,3,Slides are well-structured and useful for revision.
R-0017,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU84364,[Student_017],2,2,1,Slides are text-heavy and hard to read from the back rows.
R-0204,Spring 2026,LAW201,Corporate Law II,F-A07,STU94192,[Student_204],4,4,4,Assessment pattern is fair and reflects what was taught.
R-0208,Spring 2026,LAW201,Corporate Law II,F-A04,STU87569,[Student_208],4,5,4,Slides are well-structured and useful for revision.
